"","Book_Name","Author","Rating","Reviews","Price_baht","Fiction"
"157","Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin",4.8,3828,3828,"Non Fiction"
"158","Life","Keith Richards",4.5,2752,2752,"Non Fiction"
"159","Little Bee: A Novel","Chris Cleave",4.1,1467,1467,"Fiction"
"160","Little Blue Truck","Alice Schertle",4.9,1884,1884,"Fiction"
"161","Little Fires Everywhere","Celeste Ng",4.5,25706,25706,"Fiction"
"162","Looking for Alaska","John Green",4.5,8491,8491,"Fiction"
"163","Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell",4.2,1649,1649,"Non Fiction"
"164","Love You Forever","Robert Munsch",4.8,18613,18613,"Fiction"
"165","Magnolia Table: A Collection of Recipes for Gathering","Joanna Gaines",4.8,9867,9867,"Non Fiction"
"166","Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten",4.5,1386,1386,"Non Fiction"
"167","Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven",4.7,10199,10199,"Non Fiction"
"168","Mastering the Art of French Cooking, Vol. 2","Julia Child",4.8,2926,2926,"Non Fiction"
"169","Milk and Honey","Rupi Kaur",4.7,17739,17739,"Non Fiction"
"170","Milk and Vine: Inspirational Quotes From Classic Vines","Adam Gasiewski",4.4,3113,3113,"Non Fiction"
"171","Mindset: The New Psychology of Success","Carol S. Dweck",4.6,5542,5542,"Non Fiction"
"172","Mockingjay (The Hunger Games)","Suzanne Collins",4.5,26741,26741,"Fiction"
"173","National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer",4.8,5347,5347,"Non Fiction"
"174","National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)","Amy Shields",4.8,7866,7866,"Non Fiction"
"175","New Moon (The Twilight Saga)","Stephenie Meyer",4.6,5680,5680,"Fiction"
"176","Night (Night)","Elie Wiesel",4.7,5178,5178,"Non Fiction"
"177","No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen",4.6,8093,8093,"Non Fiction"
"178","Obama: An Intimate Portrait","Pete Souza",4.9,3192,3192,"Non Fiction"
"179","Oh, the Places You'll Go!","Dr. Seuss",4.9,21834,21834,"Fiction"
"180","Old School (Diary of a Wimpy Kid #10)","Jeff Kinney",4.8,6169,6169,"Fiction"
"181","Olive Kitteridge","Elizabeth Strout",4.2,4519,4519,"Fiction"
"182","One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp",4.6,3163,3163,"Non Fiction"
